Radio    	Rad    	Radio-source
  ·  Radio(m)    	mR     	metric Radio-source
  ·  Radio(cm)    	cm     	centimetric Radio-source
  ·  Radio(mm)    	mm     	millimetric Radio-source
  ·  Radio(sub-mm)    	smm    	sub-millimetric source
  ·  HI    	HI     	HI (21cm) source
  ·  radioBurst    	rB     	radio Burst
  ·  Maser    	Mas    	Maser

IR    	IR     	Infra-Red source
  ·  IR>30um    	FIR    	Far-IR source (λ >= 30 µm)
  ·  IR<10um    	NIR    	Near-IR source (λ < 10 µm)

Red    	red    	Very red source
  ·  RedExtreme    	ERO    	Extremely Red Object

Blue    	blu    	Blue object

UV    	UV     	UV-emission source

X    	X     	X-ray source
  ·  ULX?    	UX?    	Ultra-luminous X-ray candidate
  ·  ULX    	ULX    	Ultra-luminous X-ray source

gamma    	gam    	gamma-ray source
  ·  gammaBurst    	gB     	gamma-ray Burst

Inexistent    	err    	Not an object (error, artefact, ...)

Gravitation    	grv    	Gravitational Source
  ·  LensingEv    	Lev    	(Micro)Lensing Event
  ·  Candidate_LensSystem    	LS?    	Possible gravitational lens System
  ·  Candidate_Lens    	Le?    	Possible gravitational lens
  ·  Possible_lensImage    	LI?    	Possible gravitationally lensed image
  ·  GravLens    	gLe    	Gravitational Lens
  ·  GravLensSystem    	gLS    	Gravitational Lens System (lens+images)

Candidates    	..?    	Candidate objects
  ·  Possible_G    	G?     	Possible Galaxy
  ·  Possible_SClG    	SC?    	Possible Supercluster of Galaxies
  ·  Possible_ClG    	C?G    	Possible Cluster of Galaxies
  ·  Possible_GrG    	Gr?    	Possible Group of Galaxies
  ·  Possible_As*    	As?     Possible Association of Stars
  ·  Candidate_**    	**?    	Physical Binary Candidate
  ·  ·  Candidate_EB*    	EB?    	Eclipsing Binary Candidate
  ·  ·  Candidate_Symb*    	Sy?    	Symbiotic Star Candidate
  ·  ·  Candidate_CV*    	CV?    	Cataclysmic Binary Candidate
  ·  ·  ·  Candidate_Nova    	No?    	Nova Candidate
  ·  ·  Candidate_XB*    	XB?    	X-ray binary Candidate
  ·  ·  ·  Candidate_LMXB    	LX?    	Low-Mass X-ray binary Candidate
  ·  ·  ·  Candidate_HMXB    	HX?    	High-Mass X-ray binary Candidate
  ·  Candidate_Pec*    	Pec?    	Possible Peculiar Star
  ·  ·  Candidate_YSO    	Y*?    	Young Stellar Object Candidate
  ·  ·  Candidate_pMS*    	pr?    	Pre-main sequence Star Candidate
  ·  ·  ·  Candidate_TTau*    	TT?    	T Tau star Candidate
  ·  ·  Candidate_C*    	C*?    	Possible Carbon Star
  ·  ·  Candidate_S*    	S*?    	Possible S Star
  ·  ·  Candidate_OH    	OH?    	Possible Star with envelope of OH/IR type
  ·  ·  Candidate_CH    	CH?    	Possible Star with envelope of CH type
  ·  ·  Candidate_WR*    	WR?    	Possible Wolf-Rayet Star
  ·  ·  Candidate_Be*    	Be?    	Possible Be Star
  ·  ·  Candidate_Ae*    	Ae?    	Possible Herbig Ae/Be Star
  ·  ·  Candidate_HB*    	HB?    	Possible Horizontal Branch Star
  ·  ·  ·  Candidate_RRLyr    	RR?    	Possible Star of RR Lyr type
  ·  ·  ·  Candidate_Cepheid    	Ce?    	Possible Cepheid
  ·  ·  Candidate_RGB*    	RB?    	Possible Red Giant Branch star
  ·  ·  Candidate_SG*    	sg?    	Possible Supergiant star
  ·  ·  ·  Candidate_RSG*    	s?r    	Possible Red supergiant star
  ·  ·  ·  Candidate_YSG*    	s?y    	Possible Yellow supergiant star
  ·  ·  ·  Candidate_BSG*    	s?b    	Possible Blue supergiant star
  ·  ·  Candidate_AGB*    	AB?    	Asymptotic Giant Branch Star candidate
  ·  ·  ·  Candidate_LP*    	LP?    	Long Period Variable candidate
  ·  ·  ·  Candidate_Mi*    	Mi?    	Mira candidate
  ·  ·  ·  Candiate_sr*    	sv?    	Semi-regular variable candidate
  ·  ·  Candidate_post-AGB*    	pA?    	Post-AGB Star Candidate
  ·  ·  Candidate_BSS    	BS?    	Candidate blue Straggler Star
  ·  ·  Candidate_WD*    	WD?    	White Dwarf Candidate
  ·  ·  Candidate_NS    	N*?    	Neutron Star Candidate
  ·  ·  Candidate_BH    	BH?    	Black Hole Candidate
  ·  ·  Candidate_SN*    	SN?    	SuperNova Candidate
  ·  ·  Candidate_low-mass*    	LM?    	Low-mass star candidate
  ·  ·  Candidate_brownD*    	BD?    	Brown Dwarf Candidate

multiple_object    	mul    	Composite object
  ·  Region    	reg    	Region defined in the sky
  ·  ·  Void    	vid    	Underdense region of the Universe
  ·  SuperClG    	SCG    	Supercluster of Galaxies
  ·  ClG    	ClG    	Cluster of Galaxies
  ·  GroupG    	GrG    	Group of Galaxies
  ·  ·  Compact_Gr_G    	CGG    	Compact Group of Galaxies
  ·  PairG    	PaG    	Pair of Galaxies
  ·  ·  IG    	IG     	Interacting Galaxies
  ·  Cl*?    	C?*    	Possible (open) star cluster
  ·  GlCl?    	Gl?    	Possible Globular Cluster
  ·  Cl*    	Cl*    	Cluster of Stars
  ·  ·  GlCl    	GlC    	Globular Cluster
  ·  ·  OpCl    	OpC    	Open (galactic) Cluster
  ·  Assoc*    	As*    	Association of Stars
  ·  ·  Stream*    	St*    	Stellar Stream
  ·  ·  MouvGroup    	MGr    	Moving Group
  ·  **    	**     	Double or multiple star
  ·  ·  EB*    	EB*    	Eclipsing binary
  ·  ·  ·  EB*Algol    	Al*    	Eclipsing binary of Algol type (detached)
  ·  ·  ·  EB*betLyr    	bL*    	Eclipsing binary of beta Lyr type (semi-detached)
  ·  ·  ·  EB*WUMa    	WU*    	Eclipsing binary of W UMa type (contact binary)
  ·  ·  ·  EB*Planet    	EP*    	Star showing eclipses by its planet
  ·  ·  SB*    	SB*    	Spectroscopic binary
  ·  ·  EllipVar    	El*    	Ellipsoidal variable Star
  ·  ·  Symbiotic*    	Sy*    	Symbiotic Star
  ·  ·  CataclyV*    	CV*    	Cataclysmic Variable Star
  ·  ·  ·  DQHer    	DQ*    	CV DQ Her type (intermediate polar)
  ·  ·  ·  AMHer    	AM*    	CV of AM Her type (polar)
  ·  ·  ·  Nova-like    	NL*    	Nova-like Star
  ·  ·  ·  Nova    	No*    	Nova
  ·  ·  ·  DwarfNova    	DN*    	Dwarf Nova
  ·  ·  XB    	XB*    	X-ray Binary
  ·  ·  ·  LMXB    	LXB    	Low Mass X-ray Binary
  ·  ·  ·  HMXB    	HXB    	High Mass X-ray Binary

ISM    	ISM    	Interstellar matter
  ·  PartofCloud    	PoC    	Part of Cloud
  ·  PN?    	PN?    	Possible Planetary Nebula
  ·  ComGlob    	CGb    	Cometary Globule
  ·  Bubble    	bub    	Bubble
  ·  EmObj    	EmO    	Emission Object
  ·  Cloud    	Cld    	Cloud
  ·  ·  GalNeb    	GNe    	Galactic Nebula
  ·  ·  BrNeb    	BNe    	Bright Nebula
  ·  ·  DkNeb    	DNe    	Dark Cloud (nebula)
  ·  ·  RfNeb    	RNe    	Reflection Nebula
  ·  ·  MolCld    	MoC    	Molecular Cloud
  ·  ·  ·  Globule    	glb    	Globule (low-mass dark cloud)
  ·  ·  ·  denseCore    	cor    	Dense core
  ·  ·  ·  SFregion    	SFR    	Star forming region
  ·  ·  HVCld    	HVC    	High-velocity Cloud
  ·  HII    	HII    	HII (ionized) region
  ·  PN    	PN     	Planetary Nebula
  ·  HIshell    	sh     	HI shell
  ·  SNR?    	SR?    	SuperNova Remnant Candidate
  ·  SNR    	SNR    	SuperNova Remnant
  ·  Circumstellar    	cir    	CircumStellar matter
  ·  ·  outflow?    	of?    	Outflow candidate
  ·  ·  Outflow    	out    	Outflow
  ·  ·  HH    	HH     	Herbig-Haro Object

Star    	*     	Star
  ·  *inCl    	*iC    	Star in Cluster
  ·  *inNeb    	*iN    	Star in Nebula
  ·  *inAssoc    	*iA    	Star in Association
  ·  *in**    	*i*    	Star in double system
  ·  V*?    	V*?    	Star suspected of Variability
  ·  Pec*    	Pe*    	Peculiar Star
  ·  ·  HB*    	HB*    	Horizontal Branch Star
  ·  ·  YSO    	Y*O    	Young Stellar Object
